Acc_Species_Name,Family,Genus,Species,Authority
Quassia amara L.,Simaroubaceae,Quassia,amara,L.
Ravenala madagascariensis Sonn.,Strelitziaceae,Ravenala,madagascariensis,Sonn.
Ravenia spectabilis Engl.,Rutaceae,Ravenia,spectabilis,Engl.
Reseda alba L.,Resedaceae,Reseda,alba,L.
Reseda odorata L.,Resedaceae,Reseda,odorata,L.
Rhapis excelsa (Thunb.) Henry,Arecaceae,Rhapis,excelsa,(Thunb.) Henry
Rhododendron indicum (L.) Sweet,Ericaceae,Rhododendron,indicum,(L.) Sweet
Rhododendron mucronatum (Blume) G.Don,Ericaceae,Rhododendron,mucronatum,(Blume) G.Don
Rhododendron ponticum L.,Ericaceae,Rhododendron,ponticum,L.
Rhododendron simsii Planch.,Ericaceae,Rhododendron,simsii,Planch.
Rondeletia odorata Jacq.,Rubiaceae,Rondeletia,odorata,Jacq.
Rosa banksiae R.Br.,Rosaceae,Rosa,banksiae,R.Br.
Rosa centifolia L.,Rosaceae,Rosa,centifolia,L.
Rotheca incisa (Klotzsch) Steane & Mabb.,Lamiaceae,Rotheca,incisa,(Klotzsch) Steane & Mabb.
Rotheca myricoides (Hochst.) Steane & Mabb.,Lamiaceae,Rotheca,myricoides,(Hochst.) Steane & Mabb.
Roystonea regia (Kunth) O.F.Cook,Arecaceae,Roystonea,regia,(Kunth) O.F.Cook
Ruscus aculeatus L.,Asparagaceae,Ruscus,aculeatus,L.
Russelia equisetiformis Schltdl. & Cham.,Plantaginaceae,Russelia,equisetiformis,Schltdl. & Cham.
Russelia rotundifolia Cav.,Plantaginaceae,Russelia,rotundifolia,Cav.
Russelia sarmentosa Jacq.,Plantaginaceae,Russelia,sarmentosa,Jacq.
Ruta graveolens L.,Rutaceae,Ruta,graveolens,L.
Ruttya fruticosa Lindau,Acanthaceae,Ruttya,fruticosa,Lindau
Sabal mauritiiformis (H.Karst.) Griseb. & H.Wendl.,Arecaceae,Sabal,mauritiiformis,(H.Karst.) Griseb. & H.Wendl.
Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,Arecaceae,Sabal,palmetto,(Walter) Lodd. ex Schult. & Schult.f.
Saccharum officinarum L.,Poaceae,Saccharum,officinarum,L.
Salvia coccinea Buc'hoz ex Etl.,Lamiaceae,Salvia,coccinea,Buc'hoz ex Etl.
Salvia farinacea Benth.,Lamiaceae,Salvia,farinacea,Benth.
Salvia leucantha Cav.,Lamiaceae,Salvia,leucantha,Cav.
Salvia officinalis L.,Lamiaceae,Salvia,officinalis,L.
Salvia splendens Sellow ex Schult.,Lamiaceae,Salvia,splendens,Sellow ex Schult.
Sanchezia nobilis Hook.f.,Acanthaceae,Sanchezia,nobilis,Hook.f.
Sansevieria cylindrica Bojer,Asparagaceae,Sansevieria,cylindrica,Bojer
Sansevieria trifasciata Prain,Asparagaceae,Sansevieria,trifasciata,Prain
Sapindus mukorossi Gaertn.,Sapindaceae,Sapindus,mukorossi,Gaertn.
Saraca declinata Miq.,Fabaceae,Saraca,declinata,Miq.
