Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Ixora casei Hance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixora finlaysoniana Wall. ex G.Don,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ixora javanica (Blume) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobaea maritima (L.) Pelser & Meijden,1,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Jacobinia ghiesbreghtiana (Lem.) Hemsl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacquemontia ovalifolia (Choisy) Hallier f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacquinia armillaris Jacq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasminum bignoniaceum Wall. & G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasminum laurifolium Roxb. ex Hornem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasminum odoratissimum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasminum polyanthum Franch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Jatropha curcas L.,,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Jatropha glandulifera Roxb.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Jatropha gossypiifolia L.,1,1,1,1,,1,,,,,,,,,,,1,,,,,,,,1,,,1,,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Jatropha hernandiifolia Vent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans regia L.,1,,1,1,,,,1,1,,,1,,,,,,,,1,,,,,,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Juncus maritimus Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justicia gendarussa Burm.f.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Kaempferia elegans (Wall.) Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalanchoe blossfeldiana Poelln.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Kalanchoe integra (Medik.) Kuntze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalanchoe marmorata Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalanchoe velutina Welw. ex Britten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kallstroemia pubescens (G.Don) Dandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerria japonica (L.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaya grandifoliola C.DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kniphofia uvaria (L.) Oken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koeleria macrantha (Ledeb.) Schult.,,,1,,,,,,1,,,1,1,,,,,1,1,,,,,,,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Kyllinga polyphylla Willd. ex Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafoensia vandelliana Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagascea mollis Cav.,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lagenaria siceraria (Molina) Standl.,,1,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lagerstroemia duperreana Pierre ex Gagnep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laggera aurita Sch.Bip.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagurus ovatus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampranthus spectabilis (Haw.) N.E.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,1,1,1,1,,1,1,1,1,,1,,,,,,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lantana canescens Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana involucrata L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lantana montevidensis (Spreng.) Briq.,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lantana nivea Vent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana scabrida Aiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana splendens Medik.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana trifolia L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana veronicifolia Hayek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea aestuans (L.) Chew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latania lontaroides (Gaertn.) H.E.Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus aphaca L.,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lathyrus odoratus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus sativus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Launaea intybacea (Jacq.) Beauverd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurus nobilis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavandula angustifolia Mill.,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lawsonia inermis L.,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leea guineense G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leersia hexandra Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lemna perpusilla Torr.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lemna turionifera Landolt,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leonotis leonurus (L.) R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonotis nepetifolia (L.) R.Br.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lepidium didymum L.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lepidium ruderale L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium sativum L.,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lepidium virginicum L.,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leptospermum polygalifolium Salisb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptospermum trinervium (Sm.) Joy Thomps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptothrium senegalense (Kunth) Clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lespedeza bicolor Turcz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucadendron argenteum (L.) R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucaena diversifolia (Schltdl.) Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucaena leucocephala (Lam.) de Wit,1,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leucanthemum vulgare (Vaill.) Lam.,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leucas martinicensis (Jacq.) R.Br.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Leucojum aestivum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucophyllum frutescens (Berland.) I.M.Johnst.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Licuala spinosa Wurmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lilium lancifolium Thunb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnanthes douglasii R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnocharis flava (L.) Buchenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Linaria purpurea (L.) Mill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum usitatissimum L.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lobelia chinensis Lour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lolium multiflorum Lam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne L.,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lolium temulentum L.,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lonchocarpus capassa Rolfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonchocarpus guillemineanus (Tul.) Malme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonchocarpus sericeus (Poir.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera caprifolium L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera confusa DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera etrusca Santi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera japonica Thunb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonicera periclymenum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophospermum erubescens D.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophospermum scandens D.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus jacobaeus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia erecta (L.) H.Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludwigia hyssopifolia (G.Don) Exell,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ludwigia peruviana (L.) H.Hara,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ludwigia sedioides (Humb. & Bonpl.) H.Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus perennis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus pilosus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus polyphyllus Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycianthes laevis (Dunal) Bitter,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lycium barbarum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lycium europaeum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lycopus europaeus L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lygeum spartum Loefl. ex L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lysiloma latisiliquum (L.) Benth.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Lythrum salicaria L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Macroptilium atropurpureum (DC.) Urb.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Macroptilium lathyroides (L.) Urb.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Maesopsis eminii Engl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Magnolia figo (Lour.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia liliiflora Desr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachra capitata (L.) L.,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
"Malva multiflora (Cav.) Soldano, Banfi & Galasso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva neglecta Wallr.,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Malva parviflora L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Malva sylvestris L.,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Malvastrum coromandelianum (L.) Garcke,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Malvaviscus penduliflorus Moc. & Sessé ex DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Mandevilla boliviensis (Hook.f.) Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandevilla laxa (Ruiz & Pav.) Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manettia cordifolia Mart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manihot anomala Pohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansoa hymenaea (DC.) A.H.Gentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Markhamia stipulata (Wall.) Seem.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Marsilea quadrifolia L.,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Martynia annua L.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Maurandya barclayana Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurandya scandens (Cav.) Pers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecardonia procumbens (Mill.) Small,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Medicago lupulina L.,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Medicago polymorpha L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Medicago sativa L.,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melaleuca alternifolia (Maiden & Betche) Cheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca armillaris (Sol. ex Gaertn.) Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca hypericifolia Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca nesophila F.Muell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melampodium divaricatum (Rich. ex Rich.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melanthera micrantha (Nutt.) W.L.Wagner & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melia azedarach L.,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melianthus major L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica minuta L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melicope denhamii (Seem.) T.G.Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus albus Medik.,,,1,1,,,,,,,,1,1,,,,1,,1,,,,,,,,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melilotus indicus (L.) All.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melinis minutiflora P.Beauv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinis repens (Willd.) Zizka,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melochia corchorifolia L.,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melochia nodiflora Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Melochia pyramidata L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Mentha aquatica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha arvensis L.,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Mentha spicata L.,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Meriandra dianthera (Roth ex Roem. & Schult.) Briq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia aegyptia (L.) Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia dissecta (Jacq.) Hallier f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia gangetica Cufod.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia peltata (L.) Merr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia quinata (R.Br.) Ooststr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia quinquefolia (L.) Hallier f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merremia tuberosa (L.) Rendle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesembryanthemum cordifolium L.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesembryanthemum crystallinum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micrococca mercurialis (L.) Benth.,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Micromelum falcatum (Lour.) Tanaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
