Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Aloysia citriodora Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphitonia excelsa (Fenzl) Reissek ex Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpinia oceanica Burkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpinia purpurata (Vieill.) K.Schum.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alpinia vittata W.Bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alstonia neriifolia D.Don,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alstroemeria aurea Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera bettzickiana (Regel) G.Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera brasiliana (L.) Kuntze,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera caracasana Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternanthera ficoidea (L.) Sm.,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera littoralis P.Beauv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternanthera paronychioides A.St.-Hil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera philoxeroides (Mart.) Griseb.,,,1,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera pungens Kunth,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera sessilis (L.) R.Br. ex DC.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alternanthera spinosa (Hornem.) Schult.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althaea ludwigii L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althaea officinalis L.,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Alysicarpus vaginalis (L.) DC.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus blitum L.,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus caudatus L.,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus cruentus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus hybridus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus palmeri S.Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus polygonoides L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus spinosus L.,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
