Acc_Species_Name,TDWG_Level2,TDWG_Level2_Names,Source
Alisma lanceolatum With.,21,Macaronesia,GRIN
Alisma lanceolatum With.,20,Northern Africa,GRIN
Alisma lanceolatum With.,34,Western Asia,GRIN
Alisma lanceolatum With.,33,Caucasus,GRIN
Alisma lanceolatum With.,32,Middle Asia,GRIN
Alisma lanceolatum With.,36,China,GRIN
Alisma lanceolatum With.,10,Northern Europe,GRIN
Alisma lanceolatum With.,11,Middle Europe,GRIN
Alisma lanceolatum With.,12,Southwestern Europe,GRIN
Alisma lanceolatum With.,13,Southeastern Europe,GRIN
Alisma lanceolatum With.,14,Eastern Europe,GRIN
Allamanda cathartica L.,82,Northern South America,GRIN
Allamanda cathartica L.,84,Brazil,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,20,Northern Africa,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,34,Western Asia,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,33,Caucasus,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,32,Middle Asia,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,36,China,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,40,Indian Subcontinent,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,10,Northern Europe,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,11,Middle Europe,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,12,Southwestern Europe,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,13,Southeastern Europe,GRIN
Alliaria petiolata (M.Bieb.) Cavara & Grande,14,Eastern Europe,GRIN
Allium ampeloprasum L.,21,Macaronesia,GRIN
Allium ampeloprasum L.,20,Northern Africa,GRIN
Allium ampeloprasum L.,35,Arabian Peninsula,GRIN
Allium ampeloprasum L.,34,Western Asia,GRIN
Allium ampeloprasum L.,33,Caucasus,GRIN
Allium ampeloprasum L.,10,Northern Europe,GRIN
Allium ampeloprasum L.,14,Eastern Europe,GRIN
Allium ampeloprasum L.,13,Southeastern Europe,GRIN
Allium ampeloprasum L.,12,Southwestern Europe,GRIN
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,50,Australia,GRIN
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,50,Australia,GRIN
Allocasuarina torulosa (Aiton) L.A.S.Johnson,50,Australia,GRIN
Allocasuarina verticillata (Lam.) L.A.S.Johnson,50,Australia,GRIN
Alnus glutinosa (L.) Gaertn.,20,Northern Africa,GRIN
