Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Begonia hirtella Link,,,,,,,,,,
Bellis annua L.,,,,,,,,,,
Bellis perennis L.,,,,,,,,,,
Bidens aristosa (Michx.) Britton,,,,,,,,,,
Bidens biternata (Lour.) Merr. & Sherff,,,,,,,,,,
Bidens cernua L.,,,,,,,,,,
Bidens pilosa L.,,,,,,,,,,
Bidens triplinervia Kunth,,,,,,,,,,
Bignonia binata Thunb.,,,,,,,,,,
Bignonia callistegioides Cham.,,,,,,,,,,
Billardiera heterophylla (Lindl.) L.W.Cayzer & Crisp,,,,,,,,,,
Biophytum sensitivum (L.) DC.,,,,,,,,,899,PL
Blainvillea acmella (L.) Philipson,,,,,,,,,,
Blumea eriantha DC.,,,,,,,,,,
Blumea lacera (Burm.f.) DC.,1,,273,,,,,,,NL
Blumea obliqua (L.) Druce,,,,,,,,,,
Boerhavia diffusa L.,,,,,,,,,,
Boerhavia erecta L.,1,,181,,,,,,899,NL;PL
Boesenbergia rotunda (L.) Mansf.,,,,,,,,,,
Bomarea multiflora (L.f.) Mirb.,,,,,,,,,,
Borago officinalis L.,1,,248,,,,,,,NL
Borassus flabellifer L.,1,,168,,,,,,899,NL;PL
Bougainvillea glabra Choisy,1,249,111,,,,,,399,NL;PL
Bougainvillea spectabilis Willd.,1,,129,,,,,,399,NL;PL
Brachiaria brizantha (A.Rich.) Stapf,,,,,,,,,,
Brachiaria decumbens Stapf,,,,,,,,,,
Brachiaria mutica (Forssk.) Stapf,,,,,,,,,,
Brachiaria ramosa (L.) Stapf,,,,,,,,,,
Brachiaria villosa (Lam.) A.Camus,,,,,,,,,,
Brachychiton discolor F.Muell.,,,,,,,,,,
Brassica juncea (L.) Czern.,,,,,,,,,899,PL
Brassica rapa L.,,,,,,,,,,
Brassica tournefortii Gouan,,,,,,,,,,
Brexia madagascariensis (Lam.) Thouars ex Ker Gawl.,,,,,,,,,,
Breynia disticha J.R.Forst. & G.Forst.,1,449,134,,,,,,299,NL;PL
Briza maxima L.,,,,,,,,,,
Briza minor L.,,,,,,,,,,
Bromus arvensis L.,,,,,,,,,,
Bromus catharticus Vahl,,,,,,,,,,
