Acc_Species_Name,0100_Food,0200_Food_Additives,0200_Spices/Herbs,0300_Forage,0300_Fodder,0400_Honey,0500_InvFood,0600_Timber,0600_EssentialOil,0600_Dye,0600_Gum,0600_Fibre,0600_Lipid,0600_Wax,0600_CarvedMaterial,0600_BarkProducts,0600_Cosmetic,0600_Pesticide/Fertilizer,0600_Oil,0600_Chemical,0600_Latex/Rubber,0600_Beads,0600_Basket,0600_Cane,0600_WrappingPaper,0600_Alcohol,0700_Fuels,0700_Fuels,0800_SocialUse,0900_VertPoison,1000_InvertPoison,1100_Medicine,1100_TraditionalMedicine,1200_Agrooforestry,1200_Shade,1200_Barrier,1200_SoilImprover,1200_ErosionControl,1200_Revegetator,1200_Phytoremedy,1200_LandscapeImprover,1200_GreenManure,1200_Mulches,1200_LandReclamation,1200_SoilConservation,1200_Amenity ,1200_Lawn/Turf,1200_PollutionControl,1200_OrnamentalUse,1300_GeneSource,1300_ResearchModel,Source
Aeluropus lagopoides (L.) Thwaites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeonium arboreum Webb & Berthel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,ENVIS
Aeschynomene americana L.,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,,,GRIN;CABI
Aeschynomene brasiliana (Poir.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynomene indica L.,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Agapanthus africanus (L.) Hoffmanns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ENVIS
Agapanthus praecox Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,GRIN
Agave americana L.,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,1,,,1,,,,1,,,,1,,,"Book (Pullaiah, T., et al. 2016. Ethnobotany of India, Volume 1-5. - CRC Press.);ENVIS"
Agave cantala (Haw.) Roxb. ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVIS
